step,train_loss,val_loss,lr
2760,0.3504,,8.79e-05
2770,0.3496,,8.78e-05
2780,0.3486,,8.77e-05
2790,0.3479,,8.75e-05
2800,0.3469,,8.74e-05
2810,0.3463,,8.73e-05
2820,0.3459,,8.72e-05
2830,0.3454,,8.70e-05
2840,0.3445,,8.69e-05
2850,0.3444,,8.68e-05
2860,0.3437,,8.66e-05
2870,0.3429,,8.65e-05
2880,0.3421,,8.64e-05
2890,0.3413,,8.62e-05
2900,0.3405,,8.61e-05
2910,0.3402,,8.60e-05
2920,0.3403,,8.58e-05
2930,0.3396,,8.57e-05
2940,0.3395,,8.56e-05
2950,0.3391,,8.54e-05
2960,0.3384,,8.53e-05
2970,0.3376,,8.52e-05
2980,0.3373,,8.50e-05
2990,0.3366,,8.49e-05
3000,0.3363,,8.48e-05
3000,,0.1783,
3010,0.3359,,8.46e-05
3020,0.3353,,8.45e-05
3030,0.3352,,8.43e-05
3040,0.3348,,8.42e-05
3050,0.3345,,8.41e-05
3060,0.3337,,8.39e-05
3070,0.3331,,8.38e-05
3080,0.3326,,8.36e-05
3090,0.3319,,8.35e-05
3100,0.3311,,8.34e-05
3110,0.3306,,8.32e-05
3120,0.3305,,8.31e-05
3130,0.3298,,8.29e-05
3140,0.3295,,8.28e-05
3150,0.3296,,8.26e-05
3160,0.3288,,8.25e-05
3170,0.3280,,8.23e-05
3180,0.3275,,8.22e-05
3190,0.3270,,8.20e-05
3200,0.3263,,8.19e-05
3210,0.3256,,8.18e-05
3220,0.3257,,8.16e-05
3230,0.3253,,8.15e-05
3240,0.3252,,8.13e-05
3250,0.3246,,8.12e-05
3260,0.3242,,8.10e-05
3270,0.3235,,8.09e-05
3280,0.3233,,8.07e-05
3290,0.3227,,8.06e-05
3300,0.3223,,8.04e-05
3310,0.3217,,8.02e-05
3320,0.3218,,8.01e-05
3330,0.3212,,7.99e-05
3340,0.3204,,7.98e-05
3350,0.3197,,7.96e-05
3360,0.3192,,7.95e-05
3370,0.3190,,7.93e-05
3380,0.3187,,7.92e-05
3390,0.3183,,7.90e-05
3400,0.3177,,7.89e-05
3410,0.3173,,7.87e-05
3420,0.3167,,7.85e-05
3430,0.3161,,7.84e-05
3440,0.3157,,7.82e-05
3450,0.3150,,7.81e-05
3460,0.3146,,7.79e-05
3470,0.3143,,7.77e-05
3480,0.3137,,7.76e-05
3490,0.3131,,7.74e-05
3500,0.3126,,7.73e-05
3510,0.3120,,7.71e-05
3520,0.3114,,7.69e-05
3530,0.3109,,7.68e-05
3540,0.3102,,7.66e-05
3550,0.3095,,7.65e-05
3560,0.3092,,7.63e-05
3570,0.3087,,7.61e-05
3580,0.3086,,7.60e-05
3590,0.3087,,7.58e-05
3600,0.3083,,7.56e-05
3610,0.3078,,7.55e-05
3620,0.3072,,7.53e-05
3630,0.3071,,7.51e-05
3640,0.3067,,7.50e-05
3650,0.3061,,7.48e-05
3660,0.3056,,7.46e-05
3670,0.3050,,7.45e-05
3680,0.3046,,7.43e-05
3690,0.3044,,7.41e-05
3700,0.3041,,7.40e-05
3710,0.3037,,7.38e-05
3720,0.3031,,7.36e-05
3730,0.3030,,7.35e-05
3740,0.3025,,7.33e-05
3750,0.3019,,7.31e-05
3760,0.3017,,7.30e-05
3770,0.3014,,7.28e-05
3780,0.3008,,7.26e-05
3790,0.3004,,7.24e-05
3800,0.3007,,7.23e-05
3810,0.3002,,7.21e-05
3820,0.2997,,7.19e-05
3830,0.2999,,7.18e-05
3840,0.2994,,7.16e-05
3850,0.2990,,7.14e-05
3860,0.2993,,7.12e-05
3870,0.2989,,7.11e-05
3880,0.2984,,7.09e-05
3890,0.2982,,7.07e-05
3900,0.2979,,7.05e-05
3910,0.2974,,7.04e-05
3920,0.2969,,7.02e-05
3930,0.2966,,7.00e-05
3940,0.2960,,6.98e-05
3950,0.2954,,6.97e-05
3960,0.2952,,6.95e-05
3970,0.2950,,6.93e-05
3980,0.2946,,6.91e-05
3990,0.2942,,6.90e-05
4000,0.2939,,6.88e-05
4000,,0.1320,
4010,0.2937,,6.86e-05
4020,0.2931,,6.84e-05
4030,0.2926,,6.82e-05
4040,0.2925,,6.81e-05
4050,0.2920,,6.79e-05
4060,0.2916,,6.77e-05
4070,0.2911,,6.75e-05
4080,0.2906,,6.73e-05
4090,0.2900,,6.72e-05
4100,0.2899,,6.70e-05
4110,0.2894,,6.68e-05
4120,0.2894,,6.66e-05
4130,0.2890,,6.64e-05
4140,0.2885,,6.63e-05
4150,0.2883,,6.61e-05
4160,0.2878,,6.59e-05
4170,0.2874,,6.57e-05
4180,0.2870,,6.55e-05
4190,0.2865,,6.54e-05
4200,0.2862,,6.52e-05
4210,0.2861,,6.50e-05
4220,0.2856,,6.48e-05
4230,0.2850,,6.46e-05
4240,0.2848,,6.44e-05
4250,0.2844,,6.43e-05
4260,0.2842,,6.41e-05
4270,0.2838,,6.39e-05
4280,0.2835,,6.37e-05
4290,0.2832,,6.35e-05
4300,0.2828,,6.33e-05
4310,0.2824,,6.31e-05
4320,0.2820,,6.30e-05
4330,0.2817,,6.28e-05
4340,0.2815,,6.26e-05
4350,0.2811,,6.24e-05
4360,0.2808,,6.22e-05
4370,0.2804,,6.20e-05
4380,0.2802,,6.18e-05
4390,0.2798,,6.17e-05
4400,0.2794,,6.15e-05
4410,0.2790,,6.13e-05
4420,0.2786,,6.11e-05
4430,0.2782,,6.09e-05
4440,0.2778,,6.07e-05
4450,0.2774,,6.05e-05
4460,0.2769,,6.03e-05
4470,0.2766,,6.02e-05
4480,0.2762,,6.00e-05
4490,0.2758,,5.98e-05
4500,0.2754,,5.96e-05
4510,0.2753,,5.94e-05
4520,0.2748,,5.92e-05
4530,0.2744,,5.90e-05
4540,0.2740,,5.88e-05
4550,0.0864,,5.87e-05
4560,0.1082,,5.85e-05
4570,0.1338,,5.83e-05
4580,0.1727,,5.81e-05
4590,0.1519,,5.79e-05
4600,0.1377,,5.77e-05
4610,0.1323,,5.75e-05
4620,0.1298,,5.73e-05
4630,0.1312,,5.71e-05
4640,0.1321,,5.70e-05
4650,0.1268,,5.68e-05
4660,0.1307,,5.66e-05
4670,0.1256,,5.64e-05
4680,0.1210,,5.62e-05
4690,0.1192,,5.60e-05
4700,0.1198,,5.58e-05
4710,0.1216,,5.56e-05
4720,0.1186,,5.54e-05
4730,0.1176,,5.52e-05
4740,0.1166,,5.50e-05
4750,0.1148,,5.49e-05
4760,0.1178,,5.47e-05
4770,0.1153,,5.45e-05
4780,0.1138,,5.43e-05
4790,0.1132,,5.41e-05
4800,0.1157,,5.39e-05
4810,0.1148,,5.37e-05
4820,0.1149,,5.35e-05
4830,0.1160,,5.33e-05
4840,0.1195,,5.31e-05
4850,0.1201,,5.29e-05
4860,0.1193,,5.28e-05
4870,0.1188,,5.26e-05
4880,0.1181,,5.24e-05
4890,0.1190,,5.22e-05
4900,0.1189,,5.20e-05
4910,0.1193,,5.18e-05
4920,0.1188,,5.16e-05
4930,0.1172,,5.14e-05
4940,0.1166,,5.12e-05
4950,0.1160,,5.10e-05
4960,0.1169,,5.08e-05
4970,0.1157,,5.06e-05
4980,0.1146,,5.05e-05
4990,0.1154,,5.03e-05
5000,0.1151,,5.01e-05
5000,,0.1311,
5010,0.1143,,4.99e-05
5020,0.1140,,4.97e-05
5030,0.1150,,4.95e-05
5040,0.1154,,4.93e-05
5050,0.1156,,4.91e-05
5060,0.1145,,4.89e-05
5070,0.1145,,4.87e-05
5080,0.1134,,4.85e-05
5090,0.1138,,4.83e-05
5100,0.1157,,4.81e-05
5110,0.1148,,4.80e-05
5120,0.1153,,4.78e-05
5130,0.1143,,4.76e-05
5140,0.1139,,4.74e-05
5150,0.1133,,4.72e-05
5160,0.1129,,4.70e-05
5170,0.1127,,4.68e-05
5180,0.1119,,4.66e-05
5190,0.1117,,4.64e-05
5200,0.1107,,4.62e-05
5210,0.1129,,4.60e-05
5220,0.1130,,4.59e-05
5230,0.1125,,4.57e-05
5240,0.1118,,4.55e-05
5250,0.1113,,4.53e-05
5260,0.1116,,4.51e-05
5270,0.1109,,4.49e-05
5280,0.1107,,4.47e-05
5290,0.1104,,4.45e-05
5300,0.1100,,4.43e-05
5310,0.1095,,4.41e-05
5320,0.1106,,4.39e-05
5330,0.1106,,4.38e-05
5340,0.1106,,4.36e-05
5350,0.1104,,4.34e-05
5360,0.1107,,4.32e-05
5370,0.1121,,4.30e-05
5380,0.1142,,4.28e-05
5390,0.1138,,4.26e-05
5400,0.1135,,4.24e-05
5410,0.1131,,4.22e-05
5420,0.1127,,4.20e-05
5430,0.1125,,4.19e-05
5440,0.1121,,4.17e-05
5450,0.1114,,4.15e-05
5460,0.1113,,4.13e-05
5470,0.1108,,4.11e-05
5480,0.1111,,4.09e-05
5490,0.1114,,4.07e-05
5500,0.1118,,4.05e-05
5510,0.1117,,4.03e-05
5520,0.1116,,4.02e-05
5530,0.1118,,4.00e-05
5540,0.1117,,3.98e-05
5550,0.1113,,3.96e-05
5560,0.1110,,3.94e-05
5570,0.1116,,3.92e-05
5580,0.1121,,3.90e-05
5590,0.1116,,3.88e-05
5600,0.1112,,3.87e-05
5610,0.1115,,3.85e-05
5620,0.1124,,3.83e-05
5630,0.1122,,3.81e-05
5640,0.1121,,3.79e-05
5650,0.1129,,3.77e-05
5660,0.1128,,3.75e-05
5670,0.1125,,3.74e-05
5680,0.1123,,3.72e-05
5690,0.1128,,3.70e-05
5700,0.1124,,3.68e-05
5710,0.1122,,3.66e-05
5720,0.1122,,3.64e-05
5730,0.1124,,3.62e-05
5740,0.1131,,3.61e-05
5750,0.1128,,3.59e-05
5760,0.1124,,3.57e-05
5770,0.1121,,3.55e-05
5780,0.1120,,3.53e-05
5790,0.1120,,3.51e-05
5800,0.1121,,3.50e-05
5810,0.1116,,3.48e-05
5820,0.1118,,3.46e-05
5830,0.1116,,3.44e-05
5840,0.1113,,3.42e-05
5850,0.1114,,3.40e-05
5860,0.1114,,3.39e-05
5870,0.1111,,3.37e-05
5880,0.1109,,3.35e-05
5890,0.1108,,3.33e-05
5900,0.1105,,3.31e-05
5910,0.1102,,3.30e-05
5920,0.1101,,3.28e-05
5930,0.1102,,3.26e-05
5940,0.1103,,3.24e-05
5950,0.1102,,3.22e-05
5960,0.1101,,3.21e-05
5970,0.1101,,3.19e-05
5980,0.1100,,3.17e-05
5990,0.1101,,3.15e-05
6000,0.1102,,3.13e-05
6000,,0.1224,
6010,0.1100,,3.12e-05
6020,0.1097,,3.10e-05
6030,0.1093,,3.08e-05
6040,0.1093,,3.06e-05
6050,0.1092,,3.05e-05
6060,0.1091,,3.03e-05
6070,0.1087,,3.01e-05
6080,0.1084,,2.99e-05
6090,0.1086,,2.98e-05
6100,0.1085,,2.96e-05
6110,0.1087,,2.94e-05
6120,0.1085,,2.92e-05
6130,0.1089,,2.91e-05
6140,0.1086,,2.89e-05
6150,0.1086,,2.87e-05
6160,0.1086,,2.85e-05
6170,0.1084,,2.84e-05
6180,0.1085,,2.82e-05
6190,0.1091,,2.80e-05
6200,0.1088,,2.78e-05
6210,0.1087,,2.77e-05
6220,0.1084,,2.75e-05
6230,0.1083,,2.73e-05
6240,0.1081,,2.72e-05
6250,0.1083,,2.70e-05
6260,0.1086,,2.68e-05
6270,0.1086,,2.67e-05
6280,0.1086,,2.65e-05
6290,0.1086,,2.63e-05
6300,0.1083,,2.61e-05
6310,0.1080,,2.60e-05
6320,0.1078,,2.58e-05
6330,0.1076,,2.56e-05
6340,0.1076,,2.55e-05
6350,0.1074,,2.53e-05
6360,0.1073,,2.51e-05
6370,0.1072,,2.50e-05
6380,0.1071,,2.48e-05
6390,0.1070,,2.46e-05
6400,0.1068,,2.45e-05
6410,0.1075,,2.43e-05
6420,0.1074,,2.41e-05
6430,0.1074,,2.40e-05
6440,0.1072,,2.38e-05
6450,0.1072,,2.37e-05
6460,0.1070,,2.35e-05
6470,0.1070,,2.33e-05
6480,0.1068,,2.32e-05
6490,0.1070,,2.30e-05
6500,0.1068,,2.28e-05
6510,0.1066,,2.27e-05
6520,0.1066,,2.25e-05
6530,0.1064,,2.24e-05
6540,0.1064,,2.22e-05
6550,0.1063,,2.20e-05
6560,0.1061,,2.19e-05
6570,0.1059,,2.17e-05
6580,0.1057,,2.16e-05
6590,0.1055,,2.14e-05
6600,0.1055,,2.13e-05
6610,0.1052,,2.11e-05
6620,0.1054,,2.09e-05
6630,0.1052,,2.08e-05
6640,0.1052,,2.06e-05
6650,0.1052,,2.05e-05
6660,0.1051,,2.03e-05
6670,0.1049,,2.02e-05
6680,0.1053,,2.00e-05
6690,0.1052,,1.99e-05
6700,0.1052,,1.97e-05
6710,0.1051,,1.96e-05
6720,0.1049,,1.94e-05
6730,0.1049,,1.93e-05
6740,0.1047,,1.91e-05
6750,0.1045,,1.89e-05
6760,0.1045,,1.88e-05
6770,0.1044,,1.87e-05
6780,0.1043,,1.85e-05
6790,0.1045,,1.84e-05
6800,0.1044,,1.82e-05
6810,0.1042,,1.81e-05
6820,0.1041,,1.79e-05
6830,0.1044,,1.78e-05
6840,0.1045,,1.76e-05
6850,0.1044,,1.75e-05
6860,0.1044,,1.73e-05
6870,0.1042,,1.72e-05
6880,0.1041,,1.70e-05
6890,0.1040,,1.69e-05
6900,0.1039,,1.67e-05
6910,0.1038,,1.66e-05
6920,0.1038,,1.65e-05
6930,0.1037,,1.63e-05
6940,0.1036,,1.62e-05
6950,0.1034,,1.60e-05
6960,0.1035,,1.59e-05
6970,0.1033,,1.58e-05
6980,0.1031,,1.56e-05
6990,0.1031,,1.55e-05
7000,0.1030,,1.53e-05
7000,,0.0889,
7010,0.1029,,1.52e-05
7020,0.1028,,1.51e-05
7030,0.1026,,1.49e-05
7040,0.1025,,1.48e-05
7050,0.1024,,1.47e-05
7060,0.1026,,1.45e-05
7070,0.1030,,1.44e-05
7080,0.1028,,1.43e-05
7090,0.1027,,1.41e-05
7100,0.1025,,1.40e-05
7110,0.1023,,1.39e-05
7120,0.1024,,1.37e-05
7130,0.1023,,1.36e-05
7140,0.1021,,1.35e-05
7150,0.1019,,1.33e-05
7160,0.1017,,1.32e-05
7170,0.1018,,1.31e-05
7180,0.1016,,1.29e-05
7190,0.1015,,1.28e-05
7200,0.1014,,1.27e-05
7210,0.1012,,1.26e-05
7220,0.1012,,1.24e-05
7230,0.1013,,1.23e-05
7240,0.1013,,1.22e-05
7250,0.1011,,1.20e-05
7260,0.1010,,1.19e-05
7270,0.1008,,1.18e-05
7280,0.1009,,1.17e-05
7290,0.1008,,1.16e-05
7300,0.1009,,1.14e-05
7310,0.1008,,1.13e-05
7320,0.1008,,1.12e-05
7330,0.1008,,1.11e-05
7340,0.1007,,1.09e-05
7350,0.1008,,1.08e-05
7360,0.1007,,1.07e-05
7370,0.1005,,1.06e-05
7380,0.1004,,1.05e-05
7390,0.1003,,1.04e-05
7400,0.1002,,1.02e-05
7410,0.1001,,1.01e-05
7420,0.1000,,1.00e-05
7430,0.0999,,9.89e-06
7440,0.1002,,9.78e-06
7450,0.1000,,9.66e-06
7460,0.0998,,9.55e-06
7470,0.0997,,9.44e-06
7480,0.0997,,9.33e-06
7490,0.0996,,9.22e-06
7500,0.0994,,9.11e-06
7510,0.0995,,9.00e-06
7520,0.0993,,8.89e-06
7530,0.0992,,8.78e-06
7540,0.0991,,8.67e-06
7550,0.0993,,8.56e-06
7560,0.0991,,8.45e-06
7570,0.0991,,8.35e-06
7580,0.0989,,8.24e-06
7590,0.0988,,8.14e-06
7600,0.0988,,8.03e-06
7610,0.0987,,7.93e-06
7620,0.0987,,7.82e-06
7630,0.0986,,7.72e-06
7640,0.0985,,7.62e-06
7650,0.0984,,7.52e-06
7660,0.0984,,7.42e-06
7670,0.0983,,7.32e-06
7680,0.0982,,7.22e-06
7690,0.0982,,7.12e-06
7700,0.0980,,7.02e-06
7710,0.0979,,6.92e-06
7720,0.0978,,6.83e-06
7730,0.0977,,6.73e-06
7740,0.0977,,6.63e-06
7750,0.0975,,6.54e-06
7760,0.0974,,6.44e-06
7770,0.0973,,6.35e-06
7780,0.0972,,6.26e-06
7790,0.0972,,6.16e-06
7800,0.0971,,6.07e-06
7810,0.0972,,5.98e-06
7820,0.0971,,5.89e-06
7830,0.0969,,5.80e-06
7840,0.0971,,5.71e-06
7850,0.0969,,5.62e-06
7860,0.0968,,5.53e-06
7870,0.0967,,5.45e-06
7880,0.0965,,5.36e-06
7890,0.0964,,5.27e-06
7900,0.0964,,5.19e-06
7910,0.0963,,5.10e-06
7920,0.0962,,5.02e-06
7930,0.0961,,4.94e-06
7940,0.0960,,4.85e-06
7950,0.0959,,4.77e-06
7960,0.0958,,4.69e-06
7970,0.0957,,4.61e-06
7980,0.0956,,4.53e-06
7990,0.0955,,4.45e-06
8000,0.0955,,4.37e-06
8000,,0.0778,
8010,0.0954,,4.29e-06
8020,0.0954,,4.22e-06
8030,0.0953,,4.14e-06
8040,0.0954,,4.06e-06
8050,0.0953,,3.99e-06
8060,0.0952,,3.91e-06
8070,0.0951,,3.84e-06
8080,0.0951,,3.76e-06
8090,0.0950,,3.69e-06
8100,0.0949,,3.62e-06
8110,0.0949,,3.55e-06
8120,0.0950,,3.48e-06
8130,0.0948,,3.41e-06
8140,0.0948,,3.34e-06
8150,0.0949,,3.27e-06
8160,0.0948,,3.20e-06
8170,0.0947,,3.14e-06
8180,0.0946,,3.07e-06
8190,0.0945,,3.00e-06
8200,0.0944,,2.94e-06
8210,0.0945,,2.87e-06
8220,0.0944,,2.81e-06
8230,0.0943,,2.75e-06
8240,0.0942,,2.68e-06
8250,0.0941,,2.62e-06
8260,0.0941,,2.56e-06
8270,0.0940,,2.50e-06
8280,0.0939,,2.44e-06
8290,0.0940,,2.38e-06
8300,0.0939,,2.32e-06
8310,0.0939,,2.27e-06
8320,0.0938,,2.21e-06
8330,0.0937,,2.15e-06
8340,0.0937,,2.10e-06
8350,0.0938,,2.04e-06
8360,0.0937,,1.99e-06
8370,0.0936,,1.94e-06
8380,0.0935,,1.88e-06
8390,0.0934,,1.83e-06
8400,0.0934,,1.78e-06
8410,0.0935,,1.73e-06
8420,0.0935,,1.68e-06
8430,0.0934,,1.63e-06
8440,0.0934,,1.58e-06
8450,0.0933,,1.54e-06
8460,0.0933,,1.49e-06
8470,0.0933,,1.44e-06
8480,0.0932,,1.40e-06
8490,0.0932,,1.35e-06
8500,0.0931,,1.31e-06
8510,0.0931,,1.27e-06
8520,0.0931,,1.22e-06
8530,0.0930,,1.18e-06
8540,0.0929,,1.14e-06
8550,0.0928,,1.10e-06
8560,0.0928,,1.06e-06
8570,0.0927,,1.02e-06
8580,0.0926,,9.84e-07
8590,0.0925,,9.47e-07
8600,0.0925,,9.10e-07
8610,0.0925,,8.74e-07
8620,0.0924,,8.38e-07
8630,0.0923,,8.04e-07
8640,0.0922,,7.70e-07
8650,0.0922,,7.37e-07
8660,0.0921,,7.04e-07
8670,0.0920,,6.72e-07
8680,0.0921,,6.42e-07
8690,0.0920,,6.11e-07
8700,0.0919,,5.82e-07
8710,0.0919,,5.53e-07
8720,0.0919,,5.25e-07
8730,0.0918,,4.97e-07
